register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0559,2122/21,2021-01-29,Retention Permission,Granted,GRANT RETENTION PERMISSIO,2021-03-25,Carechoice (Finglas) Ltd.,RETENTION: Permission of an external signage erect,99.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2122%2F21
VS-0559,4431/19,2020-05-26,Retention Permission,Granted,GRANT RETENTION PERMISSIO,2020-06-22,CareChoice Finglas Ltd.,RETENTION:  The development consists of works to t,99.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4431%2F19
VS-0559,2693/19,2019-08-22,Permission,Granted,GRANT PERMISSION,2019-09-18,CareChoice Finglas Ltd.,The proposed development will consist of the const,34.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2693%2F19
VS-0559,3021/16,2016-06-01,Permission,Granted,GRANT PERMISSION,2016-07-26,Ardmore Lodge Nursing Home Ltd,Alterations to previously approved reg. ref. 3065/,99.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3021%2F16
VS-0559,3110/15,2016-02-08,Permission,Granted,GRANT PERMISSION,2016-03-04,Ardmore Lodge Nursing Home Ltd,Construction of an extension to the northern/side,99.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3110%2F15
VS-0559,3065/14,2014-07-16,Permission,Granted,GRANT PERMISSION,2014-09-09,Ardmore Lodge Nursing Home Ltd.,Change of use of existing hotel to nursing home,99.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3065%2F14
VS-0559,5012/06,2006-09-11,Permission,Granted,GRANT PERMISSION,2006-10-27,Clearwire Ireland Ltd,"installation of 3 no. antenna, 2 no. transmission",5.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5012%2F06
VS-0559,4886/05,2005-09-22,Permission,Granted,GRANT PERMISSION,2005-11-16,McCabe Builders Ltd,Retention and completion of revisions/modification,99.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4886%2F05
VS-0559,2888/04,2004-05-18,Permission,Granted,GRANT PERMISSION,2004-07-12,McCabe Builders,revisions to development  permitted (4830/03 & 247,99.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2888%2F04
VS-0559,2475/03,2003-05-30,Permission,Granted,GRANT PERMISSION,2003-07-22,McCabe Builders (Dublin) Limited,112 bedroom hotel together with ancillary accommod,5.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2475%2F03
VS-0724,WEB1226/26,2026-02-04,Permission                              ,Granted,APPLICATION DECLARED INVA,2026-02-06,Thomas Corcoran,Planning permission is sought by Thomas Corcoran for the demolition of existing,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB1226%2F26
VS-0724,5071/23,2023-12-22,Permission                              ,Refused,REFUSE PERMISSION        ,2024-02-23,Tom Corcoran,The development is to consist of the demolition of all existing single storey st,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5071%2F23
VS-0724,4926/23,2023-12-07,Permission,Granted,APPLICATION DECLARED INVA,2023-12-18,Thomas Corcoran,Residential redevelopment of the former builders s,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4926%2F23
VS-0724,3054/23,2023-01-17,Permission,Refused,REFUSE PERMISSION,2023-03-13,Thomas Corcoran,The development is to consist of the demolition of,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3054%2F23
VS-0724,4122/17,2017-10-24,Permission,Granted,GRANT PERMISSION,2017-12-15,Thomas Corcoran,"Demolition of existing commercial garage,constr.of",99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4122%2F17
VS-0724,3873/17,2017-09-18,Permission,Granted,APPLICATION DECLARED INVA,2017-10-12,Thomas Corcoran,"Demolition of existing single storey garage/sheds,",99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3873%2F17
VS-0724,3801/16,2016-09-27,Permission,Refused,REFUSE PERMISSION,2016-11-21,Thomas Corcoran,Demolition of existing garage & open sheds & front,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3801%2F16
VS-0724,5968/06,2006-11-08,LAW,Other,OBSERVATIONS,2007-01-11,Parks Department (Dublin City Council),Construction of single storey building comprising,2.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5968%2F06
VS-0748,3974/17,2017-10-03,Permission,Granted,GRANT PERMISSION,2017-11-27,Tinnelly Construction Ltd,Construction of a 3-storey apartment building over,98.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3974%2F17
VS-0748,4660/08,2008-10-08,Permission,Granted,GRANT PERMISSION,2008-11-26,The Board of Directors,PROTECTED STRUCTURE - single storey 6 office side,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4660%2F08
VS-0748,1715/08,2008-02-29,Permission,Granted,GRANT PERMISSION,2008-04-18,"Board of Directors, Palliative Care Unit",PROTECTED STRUCTURE-Provision of single storey ext,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1715%2F08
VS-0748,1548/08,2008-02-20,Permission,Granted,APPLICATION DECLARED INVA,2008-02-26,The Board of Directors of O.L.H.,PROTECTED STRUCTURE-Single storey extension to in-,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1548%2F08
VS-0748,2894/07,2007-04-30,Permission,Granted,GRANT PERMISSION,2007-06-22,Gerard Tinnelly,Development of a 3 storey apartment building,95.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2894%2F07
VS-0748,1952/07,2007-03-05,Permission,Granted,GRANT PERMISSION,2007-04-27,Mr Patrick Fitzgerald,RETENTION - and completion of the sub division of,5.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1952%2F07
VS-0748,6691/06,2006-12-20,Permission,Refused,REFUSE PERMISSION,2007-02-20,Gerard Tinnelly,Development of a 3 storey apartment building over,95.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=6691%2F06
VS-0748,2926/05,2005-05-20,Permission,Granted,APPLICATION DECLARED INVA,2005-06-02,The Board of Directors,provision of a glazed concourse area linking the e,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2926%2F05
