register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0003,4466/19,2019-11-15,Permission,Refused,REFUSE PERMISSION,2020-01-17,Legendside Ltd.,Permission for residential development on a site m,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4466%2F19
VS-0003,0419/19,2019-09-11,Section 5,Granted,Grant  Exemption Certific,2019-10-08,Irish Prison Services,EXPP: this submission to Dublin City Council is to,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0419%2F19
VS-0003,3964/14,2015-09-24,Permission,Granted,GRANT PERMISSION,2015-10-21,NOVAS Initiatives,Construction of 13 apartments and a commercial/ret,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3964%2F14
VS-0003,3672/13,2014-04-07,Permission,Granted,GRANT PERMISSION,2014-05-02,Crocusglen Ltd.,Construction of 8 no. 3 & 4 bed houses,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3672%2F13
VS-0005,WEB2243/25,2025-06-03,Permission                              ,Refused,REFUSE PERMISSION        ,2025-07-25,Halexmain Enterprises Ltd,"We, Halexmain Enterprises Ltd, intend to apply for planning permission for the d",99.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB2243%2F25
VS-0005,6705/07,2008-08-18,Permission,Granted,GRANT PERMISSION,2008-09-09,Henry Farrell & Brendan Lawless,Construct a mixed use development with 58 no. apar,99.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=6705%2F07
VS-0005,5003/05,2005-10-03,Permission,Granted,GRANT PERMISSION,2005-11-25,BBL Developments Ltd,construct 2 no. 2 bed penthouse apartments and sem,0.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5003%2F05
VS-0005,4752/05,2005-09-14,Permission,Granted,APPLICATION DECLARED INVA,2005-09-27,BBL Developments Ltd,construct 2 No. 2 bed penthouse apartments and sem,0.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4752%2F05
VS-0005,2843/04,2004-05-14,Permission,Granted,GRANT PERMISSION,2004-07-07,BBL Developments,15 sq.m. E.S.B. sub station and switch panel to se,0.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2843%2F04
VS-0005,0250/03,2003-01-24,Permission,Granted,GRANT PERMISSION,2003-05-16,BBL Developments Limited,"construct  70 housing units in four storeys, etc",0.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0250%2F03
VS-0011,4276/24,2024-09-12,LAW,Other,City Council - Approved,2025-01-06,Housing & Community Services,LAW: PROTECTED STRUCTURE: Alteration and extension,76.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4276%2F24
VS-0011,3210/19,2019-06-07,LAW,Other,City Council - Approved,2019-10-07,Dublin City Council,LAW: PROTECTED STRUCTURE: Planning and Development,99.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3210%2F19
VS-0011,2363/06,2006-08-14,Permission,Granted,GRANT PERMISSION,2006-09-06,Cableside Developments,PROTECTED STRUCTURE - provision of 227 no. residen,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2363%2F06
VS-0011,6372/05,2005-12-22,Permission,Granted,APPLICATION DECLARED INVA,2006-02-01,Cableside Development Ltd,PROTECTED provision of 230 no. residential units i,99.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=6372%2F05
VS-0019,3191/17,2017-09-07,Permission,Granted,GRANT PERMISSION,2017-10-04,River Dublin 1 S.a.r.l.,Replacement of existing building signage at the Bi,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3191%2F17
VS-0019,2676/17,2017-05-11,Permission,Other,APPLICATION WITHDRAWN,2017-04-24,River Dublin 1 S.a.r.l.,Planning permission on a 0.48 ha (1.18 acre) site,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2676%2F17
VS-0019,2683/15,2015-04-28,Permission,Granted,GRANT PERMISSION,2015-06-22,Targeted Investment Opportunities PLC,Erection of permanent building signage at the Bina,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2683%2F15
VS-0019,3191/13,2013-11-28,Permission,Granted,GRANT PERMISSION,2013-12-16,KSH Europe Holdings,Provision of 100 student accommodation units and a,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3191%2F13
VS-0019,4733/08,2009-01-29,Permission,Granted,GRANT PERMISSION,2009-03-25,P. Elliott & Co Ltd.,"PROTECTED STRUCTURE-Alterations, partial demolitio",99.3,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4733%2F08
VS-0019,1712/08,2008-02-29,Permission,Granted,GRANT PERMISSION,2008-04-23,P. Elliott & Co. Ltd.,PROTECTED STRUCTURE-Alterations & refurbishment to,99.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1712%2F08
VS-0019,3233/06,2006-10-09,Permission,Granted,GRANT PERMISSION,2006-12-01,P. Elliot & Co. Ltd.,Protected Structures-Alterations and refurbishment,99.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3233%2F06
VS-0028,WEB5374/25,2026-02-27,Permission                              ,Granted,GRANT PERMISSION AND RETE,2026-03-25,Atlas Avenue GP3 Ltd.,PROTECTED STRUCTURE: RETENTION & PERMISSION: The application site includes Prote,0.5,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB5374%2F25
VS-0028,3405/23,2023-06-16,Permission,Granted,GRANT PERMISSION,2023-07-13,Atlas Avenue GP3 Ltd.,PROTECTED STRUCTURE: Planning Permission to amend,0.0,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3405%2F23
VS-0028,2765/20,2020-05-28,Permission,Granted,GRANT PERMISSION,2020-07-22,Atlas GP Limited,PROTECTED STRUCTURE: Planning permission for amend,0.0,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2765%2F20
VS-0028,2514/20,2020-03-16,Permission,Granted,GRANT PERMISSION,2020-07-03,Atlas GP Ltd,PROTECTED STRUCTURE  -  Permission to amend a perm,0.0,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2514%2F20
VS-0028,3209/19,2019-10-01,Permission,Granted,GRANT PERMISSION,2019-11-25,Atlas GP Ltd,PROTECTED STRUCTURE: Atlas GP Limited intend to ap,0.0,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3209%2F19
VS-0028,3082/18,2018-05-23,Permission,Granted,APPLICATION DECLARED INVA,2018-07-06,Atlas GP Limited,PROTECTED STRUCTURE: Atlas GP Limited intend to ap,0.0,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3082%2F18
VS-0028,3855/09,2010-04-28,Permission,Granted,GRANT PERMISSION,2010-05-25,Canal Harbour Development Company Ltd,PROTECTED STRUCTURE - 6 buildings ranging in heigh,0.3,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3855%2F09
VS-0028,3564/98,1998-12-16,Outline Permission,Refused,REFUSE OUTLINE PERMISSION,1999-03-05,"Ms. B. Deane,",Residential development comprising 5 no. two bed a,0.1,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3564%2F98
VS-0043,4170/17,2017-11-01,Permission,Other,WITHDRAWN ARTICLE 33 (NO,2019-01-03,The Board of St. James's Hospital,The Development will consist of the demolition & r,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4170%2F17
VS-0043,4816/05,2005-09-16,Permission,Granted,GRANT PERMISSION,2005-11-10,W. and D. Hooton,Refurbishment of existing dilapidated dwelling to,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4816%2F05
VS-0043,3428/05,2005-06-20,Permission,Granted,APPLICATION DECLARED INVA,2005-08-02,W & D Hooton.,refurbishment  of existing dilapidated dwelling to,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3428%2F05
VS-0043,2998/05,2005-05-24,Permission,Granted,APPLICATION DECLARED INVA,2005-06-07,W. & D. Hooton,refurbishment of existing dilapidated dwelling to,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2998%2F05
VS-0043,0547/01,2001-04-03,Permission,Granted,GRANT PERMISSION,2001-05-30,Linfort Limited,Demolition of existing dwelling and reconstruction,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0547%2F01
VS-0048,LRD6025/23-S3,2023-06-02,Large Residential Development-3,Granted,GRANT PERMISSION,2023-07-27,Bindford Limited,Planning permission for a Large-Scale Residential,99.3,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=LRD6025%2F23-S3
VS-0048,3513/21,2021-09-16,LAW,Undecided,,,"Dublin City Council, Environment and Tra",LAW: Planning and Development Act 2000 (as amended,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3513%2F21
VS-0048,4752/18,2019-07-25,Permission,Granted,GRANT PERMISSION,2019-08-21,Pacelli Lynch,Construction of 2 no. fully serviced two storey dw,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4752%2F18
VS-0048,4350/18,2018-11-08,Permission,Granted,APPLICATION DECLARED INVA,2018-12-05,Pacelli Lynch,construction of 2no. fully serviced two storey dwe,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4350%2F18
VS-0048,4248/18,2018-10-24,Permission,Granted,APPLICATION DECLARED INVA,2018-11-01,Pascelli Lynch,The development will consist of the construction o,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4248%2F18
VS-0048,4533/17,2018-05-28,Permission,Refused,REFUSE PERMISSION,2018-06-22,Pacelli Lynch,Constr.of 2 no. fully serviced two-storey dwelling,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4533%2F17
VS-0048,4233/17,2017-11-10,Permission,Granted,APPLICATION DECLARED INVA,2017-11-28,Pacelli Lynch,2 No. fully serviced two storey dwellings ( 2-bed),0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4233%2F17
VS-0048,2402/14,2014-03-21,Permission,Granted,GRANT PERMISSION,2014-05-15,Bondford Developments Ltd,Demolition of existing buildings on site & other w,97.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2402%2F14
VS-0048,2300/14,2014-02-28,Permission,Granted,APPLICATION DECLARED INVA,2014-03-13,Binford Developments Ltd,Demolition of existing buildings on site & other w,97.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2300%2F14
VS-0048,3209/13,2013-09-06,Permission,Granted,APPLICATION DECLARED INVA,2013-10-23,Bindford Developments Ltd,Construction of residential development with some,99.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3209%2F13
VS-0048,2223/12,2012-02-27,Permission,Granted,APPLICATION DECLARED INVA,2012-03-08,Pacelli Lynch,"Construction of 2no. 2 bedroom, 2-storey non-ident",0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2223%2F12
VS-0048,6818/07,2008-08-13,Permission,Granted,GRANT PERMISSION,2008-09-09,Stateford Limited,Demolition of existing buildings on site & constru,97.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=6818%2F07
VS-0048,1745/07,2007-07-12,Permission,Refused,REFUSE PERMISSION,2007-08-08,Stateford Limited,Development of a mixed use scheme on a site of 0.7,97.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1745%2F07
VS-0048,3104/07,2007-05-11,Permission,Granted,GRANT PERMISSION,2007-07-05,Christopher Campbell,2nd Storey extension over existing kitchen.,2.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3104%2F07
VS-0048,1975/07,2007-03-06,Permission,Granted,SPLIT DECISION(PERMISSION,2007-04-25,Christopher Campbell,proposed extension at the rear will consist of a s,2.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1975%2F07
VS-0048,4033/06,2006-07-14,Permission,Refused,REFUSE PERMISSION,2006-09-07,Stateford Limited,Permission for development of a mixed use scheme,97.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4033%2F06
VS-0048,1193/02,2002-04-29,Permission,Granted,GRANT PERMISSION,2002-06-13,Chris Campbell,erection of a two storey three bedroomed dwelling,2.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1193%2F02
VS-0048,0900/00,2000-03-30,Permission,Refused,REFUSE PERMISSION,2000-05-16,"Mr Paul Flanigan,",Change of use from a store and dwelling to a three,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0900%2F00
VS-0048,2593/98,1999-01-18,Permission,Granted,GRANT PERMISSION,1999-03-12,"Cross Guns Bakery Ltd,",Demolition of existing silos and workshops and con,98.7,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2593%2F98
VS-0048,0797/97,1997-06-27,Permission,Refused,REFUSE PERMISSION,1997-08-25,"Pacelli & Marina Lynch,",Erect two fully serviced dwelling houses with boun,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0797%2F97
VS-0055,WEB1401/25,2025-02-28,Permission                              ,Granted,GRANT PERMISSION         ,2025-04-24,Ed Eustace Fiona McDermott,Planning permission to demolish the existing ground floor extension to front and,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB1401%2F25
VS-0055,WEB2336/24,2024-10-21,Permission,Granted,GRANT PERMISSION,2024-12-13,Sarah Jolley and Seamus keller,PLANNING PERMISSION to extend and alter a property,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB2336%2F24
VS-0055,4966/23,2023-12-14,Permission,Granted,GRANT PERMISSION,2024-02-12,Gary and Emma Fitzgerald,For conversion of existing attic space comprising,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4966%2F23
VS-0055,4098/23,2023-07-07,Permission,Granted,GRANT PERMISSION,2023-08-31,Cormac Nevin and Sarah Grace,"The development will consist of 
(a) the demoliti",0.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4098%2F23
VS-0055,2828/20,2020-11-13,Permission,Granted,GRANT PERMISSION,2020-12-09,Michael Thomas Dawson,PROTECTED STRUCTURE: The development will consist,0.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2828%2F20
VS-0055,4515/19,2019-11-22,Permission                              ,Refused,REFUSE PERMISSION        ,2020-01-24,Lilacstone Limited,PROTECTED STRUCTURE: The development will principally consist of: the conversion,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4515%2F19
VS-0055,3625/18,2018-08-01,Permission,Granted,GRANT PERMISSION,2018-09-25,Kitale Ltd,Removal of existing single storey glazed lean-to e,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3625%2F18
VS-0055,4313/15,2016-08-16,Permission,Granted,GRANT PERMISSION,2016-09-12,Independent Trustee Company Ltd,PROTECTED STRUCTURE: Permission for 12 no. dwellin,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4313%2F15
VS-0055,3721/15,2015-09-29,Permission,Granted,APPLICATION DECLARED INVA,2015-10-09,Independent Trustee Company Ltd,"PROTECTED STRUCTURE:Construct 7 new houses,extensi",99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3721%2F15
VS-0055,2969/98,1998-10-21,Permission,Other,ADDITIONAL INFORMATION,1998-12-16,"Kitale Ltd. (Ashley Motors),",To form no. 2 revised vehicular entrances and car,0.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2969%2F98
VS-0080,WEB5136/25,2025-09-12,Permission                              ,Granted,GRANT PERMISSION         ,2025-11-06,Focus Housing Association CLG,Permission is sought by Focus Housing Association CLG for development at Nos. 2,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB5136%2F25
VS-0080,WEB5031/25,2025-09-03,Permission                              ,Granted,APPLICATION DECLARED INVA,2025-09-04,Focus Housing Association CLG,Permission is sought by Focus Housing Association CLG for development at Nos. 2,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB5031%2F25
VS-0080,WEB2969/25,2025-08-26,Permission                              ,Granted,APPLICATION DECLARED INVA,2025-09-02,Focus Housing Association CLG,Permission is sought by Focus Housing Association CLG for development at Nos. 2,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEB2969%2F25
VS-0080,3548/20,2021-02-25,Permission,Granted,GRANT PERMISSION,2021-03-24,Dauken Ltd,Planning permission for development on a site of 1,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3548%2F20
VS-0080,4795/19,2019-12-20,Permission,Refused,REFUSE PERMISSION,2020-02-21,Dauken Ltd,Planning permission for a residential & ESB sub-st,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4795%2F19
VS-0080,3144/19,2019-05-29,Permission,Granted,APPLICATION DECLARED INVA,2019-06-12,Dauken Ltd.,Planning permission for a social housing & ESB sub,99.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3144%2F19
VS-0080,2495/99,1999-09-01,Permission,Refused,REFUSE PERMISSION,1999-11-22,"Karl Construction Ltd.,","Residential development of 44 apartments, comprisi",99.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2495%2F99
VS-0080,3309/98,1999-07-12,Permission,Granted,GRANT PERMISSION,1999-09-08,"Alan Keogh,","Extension to licenced premises, with storage at ba",1.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3309%2F98
VS-0080,0491/99,1999-04-07,Permission                              ,Other,ADDITIONAL INFORMATION   ,1999-06-02,"Karl Construction Ltd.,",Residential development of 57 apartments i.e. 15 no. 1,99.3,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0491%2F99
VS-0080,0205/98,1998-01-29,Permission,Granted,GRANT PERMISSION,1998-03-26,Alan Keogh.,Roof garden.,99.6,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0205%2F98
VS-0080,0092/97,1997-10-28,Permission,Granted,GRANT PERMISSION,1997-12-04,"Mr. A. Keogh,",Additional floor containing 2 no. apartments to pr,1.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0092%2F97
VS-0080,1609/97,1997-06-26,Permission,Granted,GRANT PERMISSION,1997-08-13,"Alan Keogh,",Change of use at ground floor and basement to lice,4.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1609%2F97
VS-0101,3553/11,2012-07-10,Permission,Granted,SPLIT DECISION(PERMISSION,2012-08-02,Catherine Collins,"RETENTION - five storey over basement, 17m high, m",0.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3553%2F11
VS-0101,3380/11,2011-10-05,Permission,Granted,APPLICATION DECLARED INVA,2011-10-11,Catherine Collins,RETENTION & PERMISSION - Partial demolition & cons,0.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3380%2F11
VS-0101,4227/07,2007-07-12,Permission,Refused,REFUSE PERMISSION,2007-09-03,James Anderson,Increase the size of existing 3 storey extension o,2.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4227%2F07
VS-0101,3594/07,2007-06-11,Permission,Granted,APPLICATION DECLARED INVA,2007-06-19,Mr. James Anderson,To increase the size of existing three storey exte,2.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3594%2F07
VS-0101,3642/06,2006-06-23,Permission,Granted,GRANT PERMISSION,2006-08-16,M & J Wallace Ltd,additional 3 No. 2 bed apartments to approved (ref,7.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3642%2F06
VS-0101,3633/06,2006-06-23,Permission,Granted,GRANT PERMISSION,2006-08-11,M & J Wallace LTD,"commercial/residential development, 28 apartments",99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3633%2F06
VS-0101,3149/06,2006-05-25,Permission,Granted,APPLICATION DECLARED INVA,2006-06-16,M&U Wallace Ltd,Additional 3 no2 bed apartments,7.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3149%2F06
VS-0101,3132/06,2006-05-25,Permission,Granted,APPLICATION DECLARED INVA,2006-06-16,M + J Wallace Ltd,Permission sought for commercial / residential dev,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3132%2F06
VS-0101,2454/06,2006-04-12,Permission,Granted,APPLICATION DECLARED INVA,2006-05-02,M + J Wallace,Permission for amendments to approved scheme 5705/,7.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2454%2F06
VS-0101,5705/04,2004-12-06,Permission,Granted,GRANT PERMISSION,2005-02-08,M + J Wallace Ltd,constructionof 5/6 floors over basement including,7.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5705%2F04
VS-0101,5544/04,2004-11-25,Permission,Granted,APPLICATION DECLARED INVA,2004-12-06,M & J Wallace Ltd,Construction of 5/6 floors over basement including,7.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=5544%2F04
VS-0101,2304/04,2004-04-08,LAW,Other,APPLICATION WITHDRAWN,2004-04-29,Housing Social & Community Services,22 units in 2 blocks,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2304%2F04
VS-0117,3511/22,2022-03-14,LAW,Other,City Council - Approved,2022-07-04,"Dublin City Council, Housing and Communi",LAW: Planning and Development Act 2000 (as amended,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3511%2F22
VS-0117,4426/05,2005-08-22,Permission,Refused,REFUSE PERMISSION,2005-10-13,Readymix (ROI) Ltd.,demolition of concrete plant & 2 office blocks & c,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4426%2F05
VS-0117,2324/05,2005-04-11,Permission,Granted,APPLICATION DECLARED INVA,2005-05-03,Readymix (ROI) Ltd.,demolition of a concrete batching plant and 2 no.,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2324%2F05
VS-0117,1549/05,2005-02-15,Permission,Granted,APPLICATION DECLARED INVA,2005-03-08,Readymix (ROI) Limited,130 no apartments units in an arrangement of 6 and,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1549%2F05
