derelict_site_reference_number,full_address,administrative_area_name,derelict_site_status,is_on_current_derelict_sites_register,is_active_derelict_site_case,is_on_current_record_of_protected_structures,is_owned_by_dublin_city_council,date_added_to_the_derelict_sites_register,most_recent_update_date,derelict_site_description,site_location_latitude,site_location_longitude
DS900,7 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20F582,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2015-06-26,16/07/2026,"Mulberry Cottages, 7, Martin's Row, Chapelizod, Dublin 20",53.3500730699,-6.345232093
DS901,10 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20TX99,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2015-06-26,16/07/2026,"Mulberry Cottages, 10, Martin's Row, Chapelizod, Dublin 20",53.3501663899,-6.345093496
DS902,11 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20E524,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2015-06-26,16/07/2026,"Mulberry Cottages, 11, Martin's Row, Chapelizod, Dublin 20",53.35019843,-6.345050444
DS905,Coolfan House Old Naas Road Dublin 12,South Central,On Derelict Sites Register,Yes,Yes,No,No,2015-09-04,16/07/2026,"Old Naas Road, Coolfan House, Bluebell, Dublin 12",53.32867106,-6.344914516
DS937,6 Creighton Street Dublin 2 D02CF66,South East,On Derelict Sites Register,Yes,Yes,No,Yes,2016-11-16,16/07/2026,"Creighton Street, 6, Dublin 2",53.34564519,-6.246672101
DS953,5 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20PF29,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2019-04-10,16/07/2026,"Mulberry Cottages, 5, Martin's Row, Chapelizod, Dublin 20",53.3501413599,-6.345363001
DS980,No Address,South Central,On Derelict Sites Register,Yes,Yes,No,No,2017-05-17,16/07/2026,"Hanover Lane, adj. No.34, Dublin 8",53.3404139299,-6.273557605
DS982,8 Ferguson Road Dublin 9 D09E3E5,Central,On Derelict Sites Register,Yes,Yes,No,Yes,2017-09-28,16/07/2026,"Ferguson Road, 8, Drumcondra, Dublin 9",53.3707937699,-6.259915267
DS1006,23 Blessington Street Dublin 7 D07DT6D,Central,On Derelict Sites Register,Yes,Yes,No,No,2017-09-29,16/07/2026,"Blessington Street, 23, Dublin 7",53.3567665,-6.267470368
DS1053,11 Bass Place Dublin 2 D02R5P3,South East,On Derelict Sites Register,Yes,Yes,No,Yes,2023-04-04,16/07/2026,"Bass Place, 11, Dublin 2",53.3421656599,-6.247086816
DS1371,7 Terrace Place Dublin 1~|~8 Terrace Place Dublin 1,Central,On Derelict Sites Register,Yes,Yes,No,Yes,2019-06-14,16/07/2026,"Terrace Place, 7 & 8, Dublin 1",53.3544649911,-6.2513834136
DS1417,2 Church Street Dublin 11,North West,On Derelict Sites Register,Yes,Yes,No,No,2024-01-30,16/07/2026,"Church Street, 2, Finglas, Dublin 11",53.3879806599,-6.300714415
DS2004,5 Willow Park Road Dublin 11 D11P898,North West,On Derelict Sites Register,Yes,Yes,No,No,2024-08-29,16/07/2026,"Willow Park Road, 5, Ballymun, Dublin 11",53.3911684599,-6.2797533559
DS2030,No Address,Central,On Derelict Sites Register,Yes,Yes,No,No,2024-11-29,16/07/2026,"West Road, Coady's Yard, North Strand, Dublin 3",53.35640745,-6.2391310539
DS250,144 Harold's Cross Road Dublin 6W,South East,On Derelict Sites Register,Yes,Yes,No,Yes,2007-06-08,16/07/2026,"Harold's Cross Road, 144, Dublin 6W",53.32453796,-6.279611808
DS575A,6 LEESON STREET LOWER DUBLIN 2 D02H283  ,South East,On Derelict Sites Register,Yes,Yes,No,No,2019-04-16,16/07/2026,"Leeson Street Lower, 6, Dublin 2",53.33573904,-6.2568554689
DS912,18 Cadogan Road Dublin 3 D03K650,North Central,On Derelict Sites Register,Yes,Yes,No,Yes,2022-07-08,16/07/2026,"Cadogan Road, 18, Fairview, Dublin 3",53.36181523,-6.239097538
DS954,6 Mulberry Cottages Martin's Row Chapelizod Dublin 20 D20ED28,South Central,On Derelict Sites Register,Yes,Yes,No,Yes,2019-04-10,16/07/2026,"Mulberry Cottages, 6, Martin's Row, Chapelizod, Dublin 20",53.35011054,-6.345303913
DS1380,39A Main Street Dublin 20 D20H971,South Central,On Derelict Sites Register,Yes,Yes,Yes,Yes,2023-01-23,16/07/2026,"Main Street, 39a, Chapelizod, Dublin 20",53.3490735199,-6.343980653
DS1040B,"77 Parnell Street, Dublin 1, D01 P8Y7",Central,On Derelict Sites Register,Yes,Yes,Yes,No,2022-01-14,16/07/2026,"Parnell Street, 77, Dublin 1",53.3526428199,-6.260798441
DS1040C,"78 Parnell Street, Dublin 1, D01 A074 ",Central,On Derelict Sites Register,Yes,Yes,Yes,No,2022-01-14,16/07/2026,"Parnell Street, 78, Dublin 1",53.3526663099,-6.2607145519
DS1748B,17/18 Frederick Street North Dublin 1 D01XP84~|~18 Frederick Street North Dublin 1,Central,On Derelict Sites Register,Yes,Yes,No,No,2024-08-27,16/07/2026,"Frederick Street North, 18, Dublin 1",53.3559241653,-6.2648540535
DS2072,"119 Dorset Street Upper, Dublin 1, D01 E7K4",Central,On Derelict Sites Register,Yes,Yes,No,No,2025-09-02,16/07/2026,"Dorset Street Upper, 119, Dublin 1",53.3545110399,-6.26686222
DS2006,7-9 Bath Street Dublin 4 D04E294,South East,On Derelict Sites Register,Yes,Yes,No,No,2025-09-17,16/07/2026,"Bath Street, 7-9, Dublin 4",53.33897471,-6.222475214
DS2178,"5 Ormond Quay Lower, Dublin 1, D01 F4A0",Central,On Derelict Sites Register,Yes,Yes,Yes,No,2026-06-29,16/07/2026,"Ormond Quay Lower, 5, Dublin 1 (Protected) ",53.3462698299,-6.2671765099
DS691,68 Prussia Street Dublin 7~|~68A Prussia Street Dublin 7,Central,On Derelict Sites Register,Yes,Yes,No,No,2023-04-03,16/07/2026,"Prussia Street, 68-68a, Dublin 7",53.3549725099,-6.2874285369
DS1688,THE SCHOOL OF IRISH WRESTLING SAINT IGNATIUS ROAD DUBLIN 7 D07HD26 ,Central,On Derelict Sites Register,Yes,Yes,No,No,2024-12-19,16/07/2026,"Saint Ignatius Road, The School of Irish Wrestling Building, Dublin 7",53.36188965,-6.262079288
DS2108,WINDMILL ROAD DUBLIN 12 D12TR23  ,South East,On Derelict Sites Register,Yes,Yes,No,No,2026-07-10,16/07/2026,"Windmill Road, The Hub Bar, Crumlin, Dublin 12",53.32068768,-6.3162725999
