parcel_id,zone_gzt,zone_orig,zone_desc,site_area_ha,date_added,former_vacant_sites
DCC000064172,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.924,2022-01-01,
DCC000064173,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.286,2022-01-01,
DCC000064176,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.176,2022-01-01,
DCC000064177,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.058,2022-01-01,
DCC000064178,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.18,2022-01-01,
DCC000064179,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.243,2022-01-01,
DCC000064180,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.067,2022-01-01,
DCC000064181,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",2.456,2022-01-01,
DCC000064182,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",1.61,2022-01-01,
DCC000064183,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.346,2022-01-01,
DCC000064184,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,0.293,2022-01-01,
DCC000064185,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,0.185,2022-01-01,
DCC000064186,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.056,2022-01-01,
DCC000064187,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.033,2022-01-01,
DCC000064189,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.209,2022-01-01,
DCC000064190,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.408,2022-01-01,
DCC000064191,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.114,2022-01-01,
DCC000064192,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.051,2022-01-01,
DCC000064264,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",1.388,2022-01-01,
DCC000064265,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.047,2022-01-01,
DCC000064275,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.064,2022-01-01,
DCC000064276,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.053,2022-01-01,
DCC000064277,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.043,2022-01-01,
DCC000064278,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.012,2022-01-01,
DCC000064288,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.02,2022-01-01,
DCC000064290,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,0.212,2025-01-01,
DCC000064291,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,0.338,2025-01-01,
DCC000064292,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,3.474,2025-01-01,
DCC000064293,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.831,2025-01-01,
DCC000064294,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.109,2025-01-01,
DCC000064295,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.031,2025-01-01,
DCC000064296,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.032,2025-01-01,
DCC000064297,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.018,2025-01-01,
DCC000064298,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.05,2025-01-01,
DCC000064299,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.156,2025-01-01,
DCC000064300,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.029,2025-01-01,
DCC000064301,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.019,2025-01-01,
DCC000064302,M3,Z3 - Neighbourhood Centres,To provide for and improve neighbourhood facilities.,0.335,2025-01-01,
DCC000064303,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.257,2025-01-01,
DCC000064304,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.031,2025-01-01,
DCC000064305,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.015,2025-01-01,
DCC000064306,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.062,2025-01-01,
DCC000064307,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.153,2025-01-01,
DCC000064308,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.119,2025-01-01,
DCC000064309,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.031,2025-01-01,
DCC000064310,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.068,2025-01-01,
DCC000064311,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.009,2025-01-01,
